Name,Meaning,Gender,Origin,Similar
Corrie,Dweller near a hollow,Female,Irish,-
Corrigan,Spear bearer,Male,Irish,-
Corrin,Spear bearer,Male,Irish,-
Corry,Dweller near a hollow,Female,Irish,-
Cory,Dweller near a hollow,Male,Irish,-
Cory,Dweller near a hollow,Female,Irish,-
Cosgrove,Champion,Male,Irish,-
Costello,Surname,Male,Irish,-
Coughlan,Hooded,Male,Irish,-
Covey,Hound of the plain,Male,Irish,-
Cowan,Hillside hollow,Male,Irish,-
Cowen,Hillside hollow,Male,Irish,-
Cowyn,Hillside hollow,Male,Irish,-
Coyle,Leader in battle,Male,Irish,-
Creedon,Belief or guiding principle,Male,Irish,-
Crevan,Fox,Male,Irish,-
Crissa,Follower of Christ or anointed,Female,Irish,-
Crissie,Follower of Christ or anointed,Female,Irish,-
Crissy,Follower of Christ or anointed,Female,Irish,-
Cristie,Follower of Christ or anointed,Female,Irish,-
Cristin,Follower of Christ or anointed,Female,Irish,-
Cristy,Follower of Christ or anointed,Female,Irish,-
Crofton,From the enclosed town,Male,Irish,-
Crogher,Loves hounds,Male,Irish,-
Crohoore,Loves hounds,Male,Irish,-
Cronan,Little dark one,Male,Irish,-
Crowley,Hunch backed,Male,Irish,-
Cruadhlaoich,Hunch backed,Male,Irish,-
Cuanaic,Handsome,Male,Irish,-
Cuinn,Intelligent,Male,Irish,-
Cullan,Handsome,Male,Irish,-
Cullen,Handsome,Male,Irish,-
Cullin,Handsome,Male,Irish,-
Cullo,Hound of Ulster,Male,Irish,-
Cumania,Name of a saint,Female,Irish,-
Cumhea,Hound of the plains,Male,Irish,-
Curran,Hero,Male,Irish,-
Cuyler,Chapel,Male,Irish,-
D'arcy,Dark,Female,Irish,-
Daeg,Black haired,Male,Irish,-
Daegan,Black haired,Male,Irish,-
Dagen,Black haired,Male,Irish,-
Dahy,Quick and agile,Male,Irish,-
Daibheid,Dearly loved,Male,Irish,-
Daimhin,Poet,Male,Irish,-
Daire,Wealthy,Male,Irish,-
Daithi,Quick and agile,Male,Irish,-
Dal,Blind,Male,Irish,-
Dalan,Hollow or valley,Male,Irish,-
Daley,Assembly,Male,Irish,-
Dallan,Hollow or valley,Male,Irish,-
Dallen,Hollow or valley,Male,Irish,-
Dallin,Hollow or valley,Male,Irish,-
Dallon,Hollow or valley,Male,Irish,-
Dalon,Hollow or valley,Male,Irish,-
Daman,Tame,Male,Irish,-
Damhnait,Poet,Female,Irish,-
Damon,To tame,Male,Irish,-
Dana,God is my judge,Female,Irish,-
Daran,Great,Male,Irish,-
Darby,Free,Male,Irish,-
Darcel,Fortress,Female,Irish,-
Darcell,Fortress,Female,Irish,-
Darcelle,Fortress,Female,Irish,-
Darcey,Dark,Female,Irish,-
Darchelle,Fortress,Female,Irish,-
Darci,Dark,Female,Irish,-
Darcia,Dark,Female,Irish,-
Darcie,Dark,Female,Irish,-
Darcy,Dark,Female,Irish,-
Darerca,Name of a saint,Female,Irish,-
Daric,Ruler of the people,Male,Irish,-
Darick,Ruler of the people,Male,Irish,-
Darnelle,Great,Female,Irish,-
Daron,Great,Female,Irish,-
Darragh,Dark oak,Male,Irish,-
Darrick,Ruler of the people,Male,Irish,-
Darroch,Ruler of the people,Male,Irish,-
Darrock,Ruler of the people,Male,Irish,-
Darry,Wealthy,Male,Irish,-
Dary,Wealthy,Male,Irish,-
Davey,Beloved,Male,Irish,-
Davie,Beloved,Male,Irish,-
Dawayne,Dark,Male,Irish,-
Declan,Man of Prayer,Male,Irish,-
Dedre,Sorrowful,Female,Irish,-
Deedra,Melancholy or sorrowful,Female,Irish,-
Deegan,Black haired,Male,Irish,-
Deidra,Melancholy or sorrowful,Female,Irish,-
Deidre,Melancholy or sorrowful,Female,Irish,-
Deirdra,Melancholy or sorrowful,Female,Irish,-
Delaine,Son of the challenger,Male,Irish,-
Delancy,Son of the challenger,Male,Irish,-
Delane,Son of the challenger,Male,Irish,-
Delaney,Son of the challenger,Male,Irish,-
Delano,Dark,Male,Irish,-
Dempsey,Proud,Male,Irish,-
Deoradhain,Exile,Male,Irish,-
Dermod,Free from envy,Male,Irish,-
Dermot,Free from envy,Male,Irish,-
Derren,Great,Male,Irish,-
Derry,Red haired,Male,Irish,-
Derry,Red haired,Female,Irish,-
Derval,True desire,Female,Irish,-
Dervilia,True desire,Female,Irish,-
Dervla,True desire,Female,Irish,-
Desmond,From south Munster,Male,Irish,-
Devaney,Poet,Female,Irish,-
Devanie,Poet,Female,Irish,-
Devany,Poet,Female,Irish,-
Devenny,Poet,Female,Irish,-
Devent,Poet,Female,Irish,-
Devine,Ox,Male,Irish,-
Devinee,Poet,Female,Irish,-
Devland,Brave,Male,Irish,-
Devlin,Brave,Male,Irish,-
Devlon,Brave,Male,Irish,-
Devlyn,Brave,Male,Irish,-
Devnet,Poet,Female,Irish,-
Devony,Poet,Female,Irish,-
Dewayne,Dark,Male,Irish,-
Diedre,Melancholy,Female,Irish,-
Dierdre,Sorrowful,Female,Irish,-
Digby,Ditch town,Male,Irish,-
Dilan,Faithful or loyal,Male,Irish,-
Dillen,Faithful or loyal,Male,Irish,-
Dillon,Faithful or loyal,Male,Irish,-
Doireann,Sullen,Female,Irish,-
Dolan,Dark haired,Male,Irish,-
Dominica,Belonging to the Lord,Female,Irish,-
Donahue,Dark warrior,Male,Irish,-
Donal,World ruler,Male,Irish,-
Donavan,Brown haired chieftain,Male,Irish,-
Donavon,Brown haired chieftain,Male,Irish,-
Donegan,Surname,Male,Irish,-
Donell,Brave,Male,Irish,-
Donelle,World ruler,Female,Irish,-
Donn,Brave,Male,Irish,-
Donnan,Brave,Male,Irish,-
Donnel,Brave,Male,Irish,-
Donnell,Brave,Male,Irish,-
Donnelly,Brave,Male,Irish,-
Donovan,Dark warrior,Male,Irish,-
Doran,Exiled or stranger,Male,Irish,-
Doreen,Meloncholy,Female,Irish,-
Doron,Stranger,Male,Irish,-
Dorrance,Stranger,Male,Irish,-
Dorrel,King's doorkeeper,Male,Irish,-
Dorrell,King's doorkeeper,Male,Irish,-
Dorren,Stranger,Male,Irish,-
Dorrin,Stranger,Male,Irish,-
Douglas,Dark stream or dark river,Male,Irish,-
Dow,Black haired,Male,Irish,-
Dowan,Black,Male,Irish,-
Dowle,Dark stranger,Male,Irish,-
Downeti,Poet,Female,Irish,-
Downett,Poet,Female,Irish,-
Doyle,Dark stranger,Male,Irish,-
Driscol,Mediator or interpreter,Male,Irish,-
Driscoll,Mediator or interpreter,Male,Irish,-
Duana,Dark,Female,Irish,-
Duane,Dark,Male,Irish,-
Duante,Dark,Male,Irish,-
Duayna,Dark,Female,Irish,-
Duayne,Dark,Male,Irish,-
Dubg,Black haired,Male,Irish,-
Dubhagain,Black,Male,Irish,-
Dubhain,Dark,Female,Irish,-
Dubhan,Black,Male,Irish,-
Dubheasa,Dark beauty,Female,Irish,-
Duffy,Dark,Male,Irish,-
Duggan,Dark,Male,Irish,-
Duvessa,Dark beauty,Female,Irish,-
Duwayne,Dark,Male,Irish,-
Dwain,Dark,Male,Irish,-
Dwaine,Dark,Male,Irish,-
Dwane,Dark,Male,Irish,-
Dwayne,Dark,Male,Irish,-
Dwyer,Black,Male,Irish,-
Dymphna,Poet,Female,Irish,-
Dympna,Poet,Female,Irish,-
Eachan,Horseman,Male,Irish,-
Eagan,Fiery or forceful,Male,Irish,-
Eagon,Fiery or forceful,Male,Irish,-
Ealga,Noble,Female,Irish,-
Eames,Wealthy guardian,Male,Irish,-
Eamon,Wealthy guardian,Male,Irish,-
Earc,Red,Male,Irish,-
Earnan,Knowing,Male,Irish,-
Eavan,Young warrior,Female,Irish,-
Edana,Little fire,Female,Irish,-
Egan,Ardent or little fiery one,Male,Irish,-
Egon,Ardent or little fiery one,Male,Irish,-
Eibhlhin,Light,Female,Irish,-
Eila,Light,Female,Irish,-
Eileen,Light,Female,Irish,-
Eileene,Light,Female,Irish,-
Eilena,Light,Female,Irish,-
Eilene,Light,Female,Irish,-
Eilinora,Light,Female,Irish,-
Eilis,The Lord is my God,Female,Irish,-
Eily,Light,Female,Irish,-
Eimar,Swift,Male,Irish,-
Eimhin,Swift,Male,Irish,-
Eion,Gift of God,Male,Irish,-
Eistir,Star,Female,Irish,-
Eithna,Kernal,Female,Irish,-
Eithne,Kernal,Female,Irish,-
Elan,Light,Female,Irish,-
Elleen,Light,Female,Irish,-
Elroy,Red haired youth,Male,Irish,-
Elva,Elfin,Female,Irish,-
Elvia,Elfin,Female,Irish,-
Elvie,Elfin,Female,Irish,-
Elvina,Elfin,Female,Irish,-
Elvinia,Elfin,Female,Irish,-
Eman,Serious,Male,Irish,-
Ena,Light,Female,Irish,-
Enat,Ardent,Female,Irish,-
Enda,Name of a saint,Male,Irish,-
Ennis,Exceptional or outstanding,Female,Irish,-
Enos,Man,Male,Irish,-
Eny,Ardent,Female,Irish,-
Enya,,Female,Irish,-
Eoghan,Noble,Male,Irish,-
Eoin,God is gracious,Male,Irish,-
Erc,Red,Male,Irish,-
Erin,Ireland,Female,Irish,-
Erina,From Ireland,Female,Irish,-
Etain,Sparkling,Female,Irish,-
Eth,Fire,Male,Irish,-
Ethna,Kernal,Female,Irish,-
Etney,Kernal,Female,Irish,-
Euan,Gift of God,Male,Irish,-
Eveleen,Hazelnut,Female,Irish,-
Evin,Young warrior,Male,Irish,-
Evoy,Blond,Male,Irish,-
Ewan,Youth,Male,Irish,-
Ewen,Gift of God,Male,Irish,-
Fachnan,Unknown,Male,Irish,-
Fagan,Little fiery one,Male,Irish,-
Fahey,From the green field,Male,Irish,-
Fahy,From the green field,Male,Irish,-
Fainche,Free,Female,Irish,-
Faline,In charge,Female,Irish,-
Fallamhain,Ruler,Male,Irish,-
Fallon,Descendant of the ruler,Male,Irish,-
Fallon,Descendant of the ruler,Female,Irish,-
Fallyn,Descendant of the ruler,Female,Irish,-
Falon,Descendant of the ruler,Female,Irish,-
Faoiltiama,Wolf lady,Female,Irish,-
Faolan,Wolf,Male,Irish,-
Farran,Wanderer,Female,Irish,-
Feenat,Deer,Female,Irish,-
Fenella,White shouldered,Female,Irish,-
Fianait,Deer,Female,Irish,-
Fidelma,Faithful,Female,Irish,-
Fineena,Beautiful child,Female,Irish,-
